player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Hank Williams,Hank,Williams,,,,R,3B,NA,1911,1914,1878 (birthplace unknown),
Harry Williams,Harry,Williams,,,,,3B,NA,1920,1921,,
Harry Williams,Harry,Williams,"5'11""",180,R,R,3B,2B,1931,1946,"6/5/1905								 (Sparks, GA)",5/1964 (death place unknown)
Henry Williams,Henry,Williams,,,R,R,C,NA,1923,1937,1895 (birthplace unknown),
J. Williams,J.,Williams,,,,,SS,NA,1909,1909,,
Jim Williams,Jim,Williams,"6'1""",198,R,R,LF,RF,1931,1944,"1/16/1906								 (Benton, AL)",
Jim Williams,Jim,Williams,,,,,P,NA,1929,1929,,
Joe Williams,Joe,Williams,"6'3""",190,R,R,P,NA,1907,1932,"4/6/1886								 (Seguin, TX)","2/25/1951								 (New York, NY)"
John Williams,John,Williams,,,,R,P,NA,1926,1930,"12/3/1904								 (South Bend, IN)",
L. Williams,L.,Williams,,,,,-,NA,1928,1928,,
Lefty Williams,Lefty,Williams,,,,L,RF,NA,1924,1924,,
Lefty Williams,Lefty,Williams,"5'6""",165,L,L,P,NA,1921,1935,"9/24/1894								 (Tanners, VA)","4/26/1952								 (Homestead, PA)"
Lem Williams,Lem,Williams,,,,,CF,NA,1907,1914,"10/12/1879								 (Geneva, OH)",
Lennie Williams,Lennie,Williams,,,,,P,NA,1929,1929,,
Mathis Williams,Mathis,Williams,,,,R,3B,NA,1923,1923,"9/15/1892								 (Haddock, GA)",
Morris Williams,Morris,Williams,"6'4""",200,,R,P,NA,1920,1921,,
Nat Williams,Nat,Williams,,,,R,3B,NA,1913,1913,,
Nish Williams,Nish,Williams,"6'2""",185,R,R,C,NA,1929,1939,"2/29/1904								 (Atlanta, GA)","9/2/1968								 (Atlanta, GA)"
Phil Williams,Phil,Williams,,,L,R,3B,NA,1931,1932,,
Poindexter Williams,Poindexter,Williams,"6'0""",195,R,R,C,NA,1921,1933,"9/10/1897								 (Decatur, AL)","3/17/1969								 (Homewood, AL)"
Roy K. Williams,Roy,Williams,"5'11""",190,,R,P,NA,1933,1943,"11/10/1907								 (Middletown, OH)",
Roy S. Williams,Roy,Williams,"6'2""",185,,R,P,NA,1930,1935,"7/24/1907								 (Sparks, GA)","7/17/1944								 (Pittsburgh, PA)"
Slim Williams,Slim,Williams,,,,,P,NA,1928,1928,,
String Bean Williams,String,Williams,"6'0""",165,,R,P,NA,1910,1925,1873 (birthplace unknown),"10/28/1929								 (Bronx, NY)"
Tom Williams,Tom,Williams,,,R,R,P,NA,1916,1924,"9/28/1896								 (Charleston, SC)","1/19/1937								 (Bremen, IL)"
W. Williams,W.,Williams,,,,,P,NA,1919,1919,,
W. Williams,W.,Williams,,,,,P,NA,1933,1933,,
Jim Willis,Jim,Willis,,,,R,P,NA,1928,1939,,
S. Willis,S.,Willis,,,,,CF,NA,1887,1887,,
James Wills,James,Wills,,,,,C,NA,1910,1911,,
Andrew Wilson,Andrew,Wilson,,,R,R,CF,NA,1923,1923,,
Bennie Wilson,Bennie,Wilson,"5'5""",120,,,RF,NA,1923,1925,"6/17/1891								 (New York, NY)",
Charley Wilson,Charley,Wilson,,,,,P,NA,1920,1926,"6/26/1895								 (Roanoke, VA)","12/15/1965								 (Salem, VA)"
Dan Wilson,Dan,Wilson,"6'1""",155,B,R,2B,LF,1936,1947,"9/15/1915								 (Yazoo City, MS)","12/23/1986								 (St. Louis, MO)"
Ed Wilson,Ed,Wilson,"5'11""",183,,,P,NA,1900,1908,"1/3/1875								 (Bellevue, PA)",
Elmer Wilson,Elmer,Wilson,"5'8""",150,R,R,2B,NA,1924,1926,"12/31/1894								 (St. Louis, MO)","11/20/1969								 (St. Louis, MO)"
Emmett Wilson,Emmett,Wilson,"5'4""",158,B,R,LF,CF,1936,1943,"1/10/1913								 (Yazoo City, MS)",2/26/1991 (death place unknown)
Felton Wilson,Felton,Wilson,"5'7""",172,,,C,NA,1932,1937,"4/24/1908								 (Talladega County, AL)","9/15/1973								 (Detroit, MI)"
Frank Wilson,Frank,Wilson,,,,,SS,NA,1917,1917,,
George Wilson,George,Wilson,,,,L,P,NA,1897,1900,7/1875 (birthplace unknown),"11/26/1915								 (Kalamazoo, MI)"
Hubert Wilson,Hubert,Wilson,"6'0""",190,,R,P,NA,1928,1929,"9/19/1902								 (Van Alstyne, TX)","10/21/1981								 (Houston, TX)"
J. Wilson,J.,Wilson,,,,,CF,NA,1921,1923,,
Jim Wilson,Jim,Wilson,,,,,LF,NA,1887,1887,"3/2/1861								 (Talah, Liberia)","11/20/1940								 (Suffolk, VA)"
Jud Wilson,Jud,Wilson,"5'8""",190,L,R,1B,3B,1922,1945,"2/28/1896								 (Remington, VA)","6/24/1963								 (Washington, DC)"
Lefty Wilson,Lefty,Wilson,,,,L,P,NA,1931,1931,,
Lefty Wilson,Lefty,Wilson,"5'11""",165,,L,P,NA,1936,1940,"12/16/1916								 (Limestone County, TX)","4/19/1965								 (Dallas, TX)"
Noble Wilson,Noble,Wilson,,,,L,LF,NA,1918,1919,,
Percy Wilson,Percy,Wilson,,,B,R,1B,NA,1923,1924,"3/3/1899								 (New Orleans, LA)","9/7/1979								 (New Orleans, LA)"
Ray Wilson,Ray,Wilson,"6'2""",180,R,R,1B,NA,1896,1910,1870 (birthplace unknown),"9/15/1912								 (Harrisburg, PA)"
Skinny Wilson,Skinny,Wilson,,,,,SS,NA,1909,1909,,
William Wilson,William,Wilson,,,,,SS,NA,1887,1887,,
David Wingfield,David,Wingfield,,,R,R,LF,NA,1920,1923,"4/21/1894								 (Washington, GA)",
Bobby Winston,Bobby,Winston,"5'6""",185,L,,LF,NA,1905,1921,"8/27/1878								 (Brookland, VA)","9/15/1952								 (Richmond, VA)"
James Winston,James,Winston,,,,,RF,NA,1931,1932,,
Nip Winters,Nip,Winters,"6'2""",180,L,L,P,NA,1921,1932,"4/29/1899								 (Washington, DC)","12/12/1971								 (Hockessin, DE)"
George Womack,George,Womack,"5'10""",,,,C,NA,1924,1924,4/27/1898 (birthplace unknown),"6/7/1928								 (St. Louis, MO)"
James Womack,James,Womack,,,,,1B,NA,1928,1933,,
Woods,NA,Woods,,,,,C,NA,1887,1887,,
Bert Woods,Bert,Woods,,,,,LF,NA,1911,1911,,
Ed Woods,Ed,Woods,,,,,P,NA,1896,1897,,
William Woods,William,Woods,,,,,SS,NA,1887,1891,,
Willie Woods,Willie,Woods,,,L,,CF,NA,1919,1926,1/26/1898 (birthplace unknown),"5/20/1927								 (Philadelphia, PA)"
Lewis Woolfolk,Lewis,Woolfolk,"5'10""",215,,R,P,NA,1923,1923,"11/21/1896								 (Henderson, KY)",
Charley Wouldridge,Charley,Wouldridge,,,,,SS,NA,1926,1928,"4/27/1892								 (Allensville, KY)","5/1/1969								 (Evansville, IN)"
Wright,NA,Wright,,,,,P,NA,1921,1921,,
Wright,NA,Wright,,,,,1B,NA,1913,1915,,
Wright,NA,Wright,,,,,2B,NA,1906,1906,,
George Wright,George,Wright,"5'10""",164,,R,SS,NA,1904,1913,"8/1/1882								 (Norfolk, VA)",
Henry Wright,Henry,Wright,"5'11""",212,,R,P,NA,1929,1935,"12/16/1906								 (Columbia, TN)",
Morgan Wright,Morgan,Wright,,,,,-,NA,1926,1926,,
Wild Bill Wright,Wild,Wright,"6'4""",220,B,R,RF,CF,1932,1945,"6/6/1914								 (Milan, TN)","8/3/1996								 (Aguascalientes, Mexico)"
Zollie Wright,Zollie,Wright,"5'9""",197,R,R,RF,NA,1932,1941,"9/17/1909								 (Milford, TX)","4/12/1976								 (Philadelphia, PA)"
Dave Wyatt,Dave,Wyatt,"5'7""",155,,,CF,NA,1898,1906,"6/19/1872								 (Nelsonville, OH)","12/10/1950								 (Cook County, IL)"
Willie Wyatt,Willie,Wyatt,,,,,C,NA,1929,1929,,
Yancey,NA,Yancey,,,,,SS,NA,1906,1911,,
Bill Yancey,Bill,Yancey,"5'9""",165,R,R,SS,NA,1927,1936,"4/2/1902								 (Philadelphia, PA)","4/13/1971								 (Marlton, NJ)"
Geech Yarborough,Geech,Yarborough,,,,,C,NA,1932,1932,,
Laymon Yokely,Laymon,Yokely,"6'2""",210,R,R,P,NA,1926,1944,"5/30/1906								 (Smithfield, NC)","11/26/1975								 (Baltimore, MD)"
Jim York,Jim,York,"6'0""",,,R,C,NA,1918,1923,"7/11/1895								 (Saint Peters, PA)","9/11/1934								 (Chester, PA)"
Young,NA,Young,,,,,P,NA,1936,1936,,
A. D. Young,A. D.,Young,,,,,P,NA,1925,1925,,
Burdell Young,Burdell,Young,,,,,RF,NA,1922,1928,"6/3/1898								 (Sylvania, GA)",
Frank Young,Frank,Young,,,,,2B,NA,1907,1910,1885 (birthplace unknown),
John Young,John,Young,,,R,R,P,NA,1923,1924,,
Maurice Young,Maurice,Young,,,,R,P,NA,1927,1927,"11/29/1904								 (Wetumpka, AL)","11/1984								 (Kansas City, MO)"
Tom Young,Tom,Young,"6'1""",210,L,R,C,NA,1926,1941,"9/6/1902								 (Wetumpka, AL)","12/27/1964								 (Seattle, WA)"
Tommy Young,Tommy,Young,,,,,C,NA,1932,1932,,
W. P. Young,W. P.,Young,"5'11""",192,,R,C,NA,1921,1927,"10/28/1896								 (Orange, NJ)","11/30/1968								 (Harrisburg, PA)"
Doc Zeigler,Doc,Zeigler,"5'10""",172,,,RF,NA,1914,1914,"6/30/1896								 (Thomaston, GA)","8/6/1989								 (Chicago, IL)"
Gordon Zeigler,Gordon,Zeigler,"5'4""",154,,L,P,NA,1921,1921,"9/14/1899								 (Chilton County, AL)","1/2/1948								 (Detroit, MI)"
Charles Zomphier,Charles,Zomphier,"6'0""",239,,R,2B,NA,1926,1931,"2/18/1906								 (St. Louis, MO)","1/31/1973								 (St. Louis, MO)"
Robert Abernathy,Robert,Abernathy,"5'9""",170,,,NA,NA,1945,1948,"7/12/1917								 (Maury County, TN)","9/2/1997								 (Nashville, TN)"
Adams,NA,Adams,,,,,NA,NA,1942,1942,,
Alexander,NA,Alexander,,,,,NA,NA,1948,1948,,
Spencer Alexander,Spencer,Alexander,"6'2""",190,L,R,NA,NA,1940,1941,"9/4/1916								 (Gastonia, NC)","11/29/1987								 (Bessemer City, NC)"
Ted Alexander,Ted,Alexander,"5'10""",185,R,R,NA,NA,1938,1948,"9/15/1912								 (Spartanburg, SC)","3/6/1999								 (East Orange, NJ)"
Alex Allen,Alex,Allen,,,,,NA,NA,1943,1943,,
Buddy Allen,Buddy,Allen,"5'8""",161,,,NA,NA,1940,1940,"11/25/1914								 (Wilmot, AR)","5/16/1989								 (Los Angeles, CA)"
Clifford Allen,Clifford,Allen,,,R,R,NA,NA,1937,1938,,
Hosea Allen,Hosea,Allen,"6'5""",213,,R,NA,NA,1941,1947,"10/23/1918								 (Jacksonville, FL)","9/26/1948								 (Tampa, FL)"
Allison,NA,Allison,,,,,NA,NA,1941,1941,,
Anders,NA,Anders,,,,,NA,NA,1940,1940,,
Anderson,NA,Anderson,,,,,NA,NA,1938,1938,,
Bill Anderson,Bill,Anderson,,175,L,R,NA,NA,1941,1947,"1/25/1913								 (Brevard, NC)",
Fast Ball Anderson,Fast,Anderson,,,,,NA,NA,1938,1938,,
Orinthal Anderson,Orinthal,Anderson,"5'11""",165,L,R,NA,NA,1947,1947,"11/11/1920								 (Hillsboro, TX)","1/24/1977								 (Miami, FL)"
Roland Anderson,Roland,Anderson,,,,,NA,NA,1944,1944,,
Andrews,NA,Andrews,,,,,NA,NA,1939,1939,,
Andrews,NA,Andrews,,,,,NA,NA,1938,1938,,
Curley Andrews,Curley,Andrews,,,R,R,NA,NA,1943,1944,,
Red Applegate,Red,Applegate,"5'11""",185,,,NA,NA,1947,1947,"11/4/1922								 (Newark, NJ)",8/8/1965 (death place unknown)
Mario Arencibia,Mario,Arencibia,"5'11""",194,R,R,NA,NA,1948,1948,"9/25/1924								 (Encrucijada, Cuba)",
Mario Ariosa,Mario,Ariosa,"5'8""",176,R,R,NA,NA,1947,1947,"9/12/1925								 (Remedios, Cuba)",
Armour,NA,Armour,,,,,NA,NA,1947,1947,,
Jimmie Armstead,Jimmie,Armstead,"5'11""",180,L,L,NA,NA,1938,1946,"9/8/1919								 (Birmingham, AL)","11/9/2006								 (Louisville, KY)"
Artez,NA,Artez,,,,,NA,NA,1945,1945,,
Carlos Ascanio,Carlos,Ascanio,,,L,L,NA,NA,1946,1946,"4/4/1918								 (Santa Lucía, Venezuela)","2/27/1998								 (Caracas, Venezuela)"
Earl Ashby,Earl,Ashby,"6'0""",170,R,R,NA,NA,1945,1948,"5/16/1921								 (Havana, Cuba)",
Joe Atkins,Joe,Atkins,"6'0""",180,R,R,NA,NA,1947,1947,"5/9/1922								 (Mobile, AL)","1970								 (Pittsburgh, PA)"
Frank Austin,Frank,Austin,"5'7""",170,R,R,NA,NA,1944,1948,"5/22/1917								 (Panama Canal Zone, Panama)","1/15/1960								 (Panama City, Panama)"
Skip Avery,Skip,Avery,,,,,NA,NA,1948,1948,,
Russell Awkard,Russell,Awkard,"5'10""",150,L,R,NA,NA,1940,1941,"10/7/1917								 (Howard County, MD)","4/1/2002								 (Louisville, KY)"
Julio Baez,Julio,Baez,,,,,NA,NA,1940,1940,,
Babe Bagby,Babe,Bagby,,,,,NA,NA,1937,1937,,
Edgar Baker,Edgar,Baker,,,L,L,NA,NA,1945,1945,,
Gene Baker,Gene,Baker,"6'1""",170,R,R,NA,NA,1948,1948,"6/15/1925								 (Davenport, IA)","12/1/1999								 (Davenport, IA)"
Rufus Baker,Rufus,Baker,"5'7""",152,,R,NA,NA,1943,1948,"9/20/1918								 (Bridgeport, CT)","6/22/1992								 (Bridgeport, CT)"
Baldwin,NA,Baldwin,,,,,NA,NA,1947,1947,,
Pedro Ballester,Pedro,Ballester,"5'8""",160,R,R,NA,NA,1948,1948,"10/23/1924								 (Cárdenas, Cuba)",
Dan Bankhead,Dan,Bankhead,"6'1""",184,R,R,NA,NA,1940,1947,"5/3/1920								 (Empire, AL)","5/2/1976								 (Houston, TX)"
Fred Bankhead,Fred,Bankhead,"5'9""",163,R,R,NA,NA,1937,1948,"11/22/1912								 (Sulligent, AL)","12/17/1972								 (Memphis, TN)"
Norman Banks,Norman,Banks,,,,,NA,NA,1945,1945,,
Bud Barbee,Bud,Barbee,"6'2""",205,R,R,NA,NA,1937,1948,"3/16/1914								 (Durham, NC)","1/14/2000								 (Durham, NC)"
Lamb Barbee,Lamb,Barbee,"5'11""",190,,,NA,NA,1945,1945,"4/30/1916								 (Durham, NC)","8/22/1986								 (Durham, NC)"
Sam Barber,Sam,Barber,"6'4""",169,,,NA,NA,1940,1940,"9/17/1919								 (Birmingham, AL)","4/18/1999								 (Birmingham, AL)"
Barlow,NA,Barlow,,,,,NA,NA,1940,1940,,
Barnes,NA,Barnes,,,,,NA,NA,1947,1947,,
Bill Barnes,Bill,Barnes,"6'0""",186,R,R,NA,NA,1940,1946,"2/20/1921								 (Birmingham, AL)",
Harry Barnes,Harry,Barnes,"5'11""",185,R,R,NA,NA,1937,1948,"8/19/1915								 (Highland Home, AL)","12/3/1993								 (Birmingham, AL)"
Vet Barnes,Vet,Barnes,,,,R,NA,NA,1937,1938,,
Vic Barnett,Vic,Barnett,"6'2""",190,R,R,NA,NA,1944,1944,"1914								 (Colón, Panama)",
Dave Barnhill,Dave,Barnhill,"5'6""",168,R,R,NA,NA,1941,1948,"10/30/1913								 (Greenville, NC)","1/8/1983								 (Miami, FL)"
Herb Barnhill,Herb,Barnhill,"5'11""",175,R,R,NA,NA,1937,1946,"7/2/1913								 (Hazlehurst, GA)","7/25/2004								 (Jacksonville, FL)"
Leroy Bass,Leroy,Bass,"6'0""",170,R,R,NA,NA,1940,1940,"5/5/1918								 (Ruleville, MS)","5/7/2003								 (El Paso, TX)"
Ray Battle,Ray,Battle,"5'11""",155,R,R,NA,NA,1944,1945,"3/17/1918								 (Rocky Mount, NC)","3/1/1973								 (Rocky Mount, NC)"
Henry Baylis,Henry,Baylis,"5'7""",148,R,R,NA,NA,1948,1948,"2/8/1923								 (Kansas City, MO)","12/17/1980								 (Kansas City, MO)"
Giovanni Beale,Giovanni,Beale,"5'9""",165,,L,NA,NA,1947,1947,"6/15/1922								 (Suffolk, VA)",7/9/1970 (death place unknown)
Skinner Belfield,Skinner,Belfield,"5'1""",158,,,NA,NA,1948,1948,"8/28/1918								 (Newark, NJ)","12/14/1995								 (Newark, NJ)"
Herman Bell,Herman,Bell,"5'11""",177,R,R,NA,NA,1940,1948,"4/18/1915								 (Birmingham, AL)","9/27/1970								 (Birmingham, AL)"
Jake Bell,Jake,Bell,"5'11""",165,,R,NA,NA,1946,1946,"3/15/1918								 (Warren County, GA)","3/3/1997								 (Philadelphia, PA)"
Lefty Bell,Lefty,Bell,,,,L,NA,NA,1948,1948,1921 (birthplace unknown),
W. Bell,W.,Bell,,,,,NA,NA,1948,1948,,
Bennett,NA,Bennett,,,,,NA,NA,1942,1942,,
Bransford Bennett,Bransford,Bennett,"6'0""",175,R,R,NA,NA,1940,1943,"1917								 (Fulton, KY)",
Jimmie Bennett,Jimmie,Bennett,"6'1""",193,,,NA,NA,1945,1948,"9/8/1919								 (Fredonia, KY)","6/3/1991								 (Indianapolis, IN)"
Cleo Benson,Cleo,Benson,,,R,R,NA,NA,1942,1942,1913 (birthplace unknown),
Plácido Bernal,Plácido,Bernal,,,,,NA,NA,1941,1941,"1914								 (Sancti Spíritus, Cuba)",
Cannonball Berry,Cannonball,Berry,"5'11""",180,,R,NA,NA,1937,1948,"8/23/1911								 (Kansas City, KS)","5/2/1992								 (Oakland, CA)"
Eddie Berry,Eddie,Berry,"6'0""",180,,,NA,NA,1943,1943,"10/16/1918								 (Danville, KY)","11/25/1981								 (Lexington, KY)"
Betts,NA,Betts,,,,,NA,NA,1938,1938,,
Charlie Biot,Charlie,Biot,"6'2""",190,R,R,NA,NA,1939,1941,"10/18/1917								 (Orange, NJ)","3/10/2000								 (East Orange, NJ)"
John Bissant,John,Bissant,"5'8""",180,R,R,NA,NA,1937,1947,"2/19/1914								 (New Orleans, LA)","4/1/2006								 (Houston, TX)"
James Bizzle,James,Bizzle,"5'10""",166,,,NA,NA,1947,1947,"3/9/1920								 (Arkadelphia, AR)","7/23/1987								 (St. Louis, MO)"
Joe Black,Joe,Black,"6'2""",220,R,R,NA,NA,1943,1948,"2/8/1924								 (Plainfield, NJ)","5/17/2002								 (Scottsdale, AZ)"
Blackburn,NA,Blackburn,,,,,NA,NA,1938,1938,,
Cliff Blackmon,Cliff,Blackmon,"6'0""",180,R,R,NA,NA,1937,1941,"3/25/1914								 (Mobile, AL)","12/17/1995								 (Mobile, AL)"
Bill Blair,Bill,Blair,"5'9""",150,R,L,NA,NA,1948,1948,"10/17/1921								 (Dallas, TX)","4/20/2014								 (Campbell, TX)"
Garnett Blair,Garnett,Blair,"6'3""",215,L,R,NA,NA,1942,1948,"7/31/1921								 (East Carnegie, PA)","1/12/1996								 (Richmond, VA)"
Carlos Blanco,Carlos,Blanco,"5'7""",178,,,NA,NA,1941,1944,"4/25/1914								 (Bayamo, Cuba)",
Heberto Blanco,Heberto,Blanco,"5'7""",168,,,NA,NA,1941,1944,"10/7/1920								 (Bayamo, Cuba)",
Spike Bland,Spike,Bland,,,,,NA,NA,1941,1941,,
Fred Blaylock,Fred,Blaylock,"6'2""",174,,,NA,NA,1945,1945,"5/25/1919								 (Cedartown, GA)",6/1967 (death place unknown)
Larry Bleach,Larry,Bleach,"6'0""",183,,,NA,NA,1937,1937,"7/16/1912								 (Brunswick, GA)","3/15/1991								 (Detroit, MI)"
Bledsoe,NA,Bledsoe,,,,,NA,NA,1937,1937,,
Lefty Boone,Lefty,Boone,"6'2""",202,,L,NA,NA,1940,1944,"3/24/1920								 (East Saint Louis, IL)",
Oscar Boone,Oscar,Boone,"5'8""",200,R,R,NA,NA,1939,1941,"3/28/1911								 (Cameron, TX)",
Bostic,NA,Bostic,,,,,NA,NA,1946,1946,,
Lyman Bostock,Lyman,Bostock,"6'0""",187,L,R,NA,NA,1940,1948,"3/11/1918								 (Birmingham, AL)","1/23/2005								 (Birmingham, AL)"
Bob Boston,Bob,Boston,"6'4""",205,R,R,NA,NA,1948,1948,"7/4/1918								 (Dearing, GA)","7/2/2002								 (Dayton, OH)"
Lefty Bowe,Lefty,Bowe,"6'3""",200,L,L,NA,NA,1939,1940,"12/18/1918								 (Burkesville, KY)",
Chuck Bowen,Chuck,Bowen,,185,,,NA,NA,1937,1937,,
Julie Bowers,Julie,Bowers,"5'10""",175,R,R,NA,NA,1946,1947,"2/27/1926								 (Staten Island, NY)","2/1977								 (Staten Island, NY)"
Bob Boyd,Bob,Boyd,"5'10""",170,L,L,NA,NA,1947,1948,"10/1/1919								 (Potts Camp, MS)","9/7/2004								 (Wichita, KS)"
Jimmy Boyd,Jimmy,Boyd,"6'2""",175,,,NA,NA,1946,1946,"3/31/1918								 (Winnsboro, SC)","10/14/1965								 (Columbia, SC)"
Doc Bracken,Doc,Bracken,"6'3""",192,R,R,NA,NA,1946,1947,"5/12/1915								 (Paducah, KY)","2/15/1994								 (St. Louis, MO)"
Bradford,NA,Bradford,,,,,NA,NA,1939,1939,,
Bill Bradford,Bill,Bradford,"6'0""",182,L,R,NA,NA,1938,1945,"9/6/1913								 (Madison, AL)",
Frank Bradley,Frank,Bradley,"6'2""",187,R,R,NA,NA,1937,1942,"2/3/1918								 (Benton, LA)","12/2/2002								 (Benton, LA)"
Provine Bradley,Provine,Bradley,"5'11""",178,,R,NA,NA,1937,1938,"10/22/1907								 (Sibley, LA)","12/31/1986								 (Greenwood, MS)"
Archie Brathwaite,Archie,Brathwaite,"5'7""",,,,NA,NA,1944,1948,"1918								 (Colón, Panama)",
Breese,NA,Breese,,,,,NA,NA,1945,1945,,
Sherwood Brewer,Sherwood,Brewer,"5'8""",168,R,R,NA,NA,1947,1948,"8/16/1923								 (Clarksdale, MS)","4/15/2003								 (Chicago, IL)"
Brewster,NA,Brewster,,,,,NA,NA,1937,1937,,
Brinson,NA,Brinson,,,,,NA,NA,1938,1938,,
John Britton,John,Britton,"5'8""",160,L,R,NA,NA,1940,1948,"4/21/1919								 (Mount Vernon, GA)","12/2/1990								 (Chicago, IL)"
Jess Brooks,Jess,Brooks,"5'7""",185,,R,NA,NA,1937,1937,"2/21/1913								 (Tacoma, WA)","6/2/1992								 (Los Angeles, CA)"
Joe Brooks,Joe,Brooks,,,,,NA,NA,1942,1942,,
J. B. Broom,J. B.,Broom,"5'11""",160,,,NA,NA,1947,1947,"8/29/1922								 (Tampa, FL)",
Alex Broome,Alex,Broome,,,,,NA,NA,1940,1942,"3/13/1921								 (Tampa, FL)",
Brown,NA,Brown,,,,,NA,NA,1944,1944,,
Brown,NA,Brown,,,,,NA,NA,1948,1948,,
Clarence Brown,Clarence,Brown,,,,,NA,NA,1941,1941,,
Curtis Brown,Curtis,Brown,"6'0""",148,,,NA,NA,1947,1947,"7/15/1923								 (Key West, FL)","12/3/1999								 (Lithonia, GA)"
George Brown,George,Brown,,,,,NA,NA,1942,1942,,
J. Brown,J.,Brown,,,,,NA,NA,1939,1939,,
J. Brown,J.,Brown,,,,,NA,NA,1938,1938,,
James Brown,James,Brown,"6'0""",180,L,R,NA,NA,1939,1947,"5/14/1919								 (Scotland County, NC)",
Jesse Brown,Jesse,Brown,"6'0""",158,L,L,NA,NA,1938,1944,"6/6/1914								 (Cleveland, OH)","5/25/1980								 (Wellesley, MA)"
Joe Brown,Joe,Brown,"6'1""",187,R,R,NA,NA,1937,1942,"11/20/1916								 (Jacksonville, FL)","9/7/1942								 (Geneva, OH)"
John Brown,John,Brown,"6'0""",155,R,R,NA,NA,1944,1948,"10/23/1918								 (Hamburg, AR)","3/3/1999								 (Detroit, MI)"
Ronnie Brown,Ronnie,Brown,,,,,NA,NA,1943,1943,,
T. J. Brown,T. J.,Brown,"5'4""",152,R,R,NA,NA,1939,1948,"8/18/1915								 (Des Moines, IA)","11/22/1973								 (East Moline, IL)"
Ted Brown,Ted,Brown,,,,,NA,NA,1943,1943,,
Clarence Bruce,Clarence,Bruce,"6'1""",170,R,R,NA,NA,1947,1948,"9/26/1924								 (Pittsburgh, PA)","1/23/1990								 (Pittsburgh, PA)"
Lloyd Bruce,Lloyd,Bruce,"6'0""",163,,,NA,NA,1940,1940,"5/15/1907								 (Sherman, TX)","3/28/1988								 (Muskogee, OK)"
Jack Bruton,Jack,Bruton,"5'11""",196,,R,NA,NA,1937,1941,"3/12/1912								 (Cordova, AL)","6/1/1973								 (Cordova, AL)"
Allen Bryant,Allen,Bryant,"5'10""",160,L,L,NA,NA,1940,1946,"3/29/1918								 (Chicago, IL)","3/22/1992								 (Kansas City, MO)"
R. B. Bryant,R. B.,Bryant,,,,,NA,NA,1937,1938,,
Earl Bumpus,Earl,Bumpus,"6'2""",200,L,L,NA,NA,1944,1948,"2/15/1914								 (Evansville, IN)","5/14/1985								 (Uniontown, KY)"
Willie Bunn,Willie,Bunn,"5'6""",166,,L,NA,NA,1943,1943,"12/25/1917								 (Albany, GA)",
Burgen,NA,Burgen,,,,,NA,NA,1947,1947,,
P. Burgess,P.,Burgess,,,,,NA,NA,1942,1942,,
Ernest Burke,Ernest,Burke,"6'1""",180,L,R,NA,NA,1946,1948,"6/26/1924								 (Havre de Grace, MD)","1/31/2004								 (Baltimore, MD)"
Joe Burke,Joe,Burke,,,,,NA,NA,1937,1937,,
Ping Burke,Ping,Burke,,170,R,R,NA,NA,1937,1937,"(Greensboro, GA)",
Burnett,NA,Burnett,,,,,NA,NA,1944,1944,,
Samuel Burris,Samuel,Burris,"5'8""",155,,,NA,NA,1940,1940,"7/21/1919								 (Centralia, IL)",6/19/1982 (death place unknown)
Burrows,NA,Burrows,,,,,NA,NA,1940,1942,,
Dick Burton,Dick,Burton,"5'10""",175,,R,NA,NA,1938,1938,"3/5/1907								 (Montgomery, AL)",
Sammy Burton,Sammy,Burton,,,,R,NA,NA,1940,1940,,
Herbert Buster,Herbert,Buster,,,,,NA,NA,1943,1943,"12/26/1914								 (New Orleans, LA)","11/8/1976								 (Little Rock, AR)"
Butler,NA,Butler,,,,,NA,NA,1937,1937,,
Ed Butler,Ed,Butler,,,,,NA,NA,1943,1945,,
Tommy Butts,Tommy,Butts,"5'8""",142,R,R,NA,NA,1938,1948,"8/27/1919								 (Sparta, GA)","12/30/1972								 (Atlanta, GA)"
Cyril Byron,Cyril,Byron,"5'11""",189,,,NA,NA,1946,1946,"4/15/1920								 (New York, NY)","10/20/2015								 (Fort Washington, MD)"
Lorenzo Cabrera,Lorenzo,Cabrera,"5'11""",196,L,L,NA,NA,1947,1948,"4/30/1920								 (Cienfuegos, Cuba)",
Luis Cabrera,Luis,Cabrera,"5'10""",175,R,R,NA,NA,1948,1948,"4/26/1919								 (Ponce, Puerto Rico)","9/16/1977								 (Trujillo Alto, Puerto Rico)"
Rafael Cabrera,Rafael,Cabrera,"5'7""",154,R,R,NA,NA,1944,1948,"11/13/1924								 (Guane, Cuba)","6/8/1990								 (New York, NY)"
Marion Cain,Marion,Cain,"5'10""",180,,R,NA,NA,1937,1938,"2/14/1916								 (Perry, GA)",
Roland Calhoun,Roland,Calhoun,"6'0""",176,R,R,NA,NA,1938,1938,"2/18/1913								 (Greenwood, SC)","3/1985								 (Oakmont, PA)"
Roy Campanella,Roy,Campanella,"5'9""",190,R,R,NA,NA,1937,1945,"11/19/1921								 (Philadelphia, PA)","6/26/1993								 (Woodland Hills, CA)"
David Campbell,David,Campbell,"5'5""",140,L,R,NA,NA,1938,1942,,
Joe Campini,Joe,Campini,"5'10""",191,L,R,NA,NA,1948,1948,"5/11/1920								 (Woonsocket, RI)","5/21/2001								 (Providence, RI)"
